name_x,height_x,weight_x,reach_x,fx_win,age_x,str_landed_per_min_x,str_acc_x,str_absorb_per_min_x,str_def_x,td_avg_x,td_acc_x,td_def_x,sub_avg_x,win_percentage_x,name_y,height_y,weight_y,reach_y,age_y,str_landed_per_min_y,str_acc_y,str_absorb_per_min_y,str_def_y,td_avg_y,td_acc_y,td_def_y,sub_avg_y,win_percentage_y,stance_x_Open Stance,stance_x_Orthodox,stance_x_Sideways,stance_x_Southpaw,stance_x_Switch,stance_y_Open Stance,stance_y_Orthodox,stance_y_Sideways,stance_y_Southpaw,stance_y_Switch
Ivan Jorge,1.75,155.0,1.85,0,34.69,4.36,0.54,3.76,0.47,1.67,0.17,0.25,0.67,0.83,Joe Duffy,1.78,155.0,1.85,27.41,8.43,0.38,8.43,0.38,0.0,0.0,0.0,0.0,0.86,0,1,0,0,0,0,1,0,0,0
Ivan Menjivar,1.68,145.0,1.63,0,30.11,5.42,0.55,4.26,0.47,0.43,0.25,0.73,1.7,0.69,Mike Easton,1.68,135.0,1.78,28.45,6.35,0.56,6.35,0.56,0.6,0.33,0.33,0.0,0.77,0,1,0,0,0,0,0,0,1,0
Ivan Menjivar,1.68,145.0,1.63,0,30.74,5.13,0.43,4.14,0.38,0.41,0.33,0.5,1.23,0.68,Urijah Faber,1.68,135.0,1.7,33.78,3.15,0.41,3.15,0.41,0.84,0.17,0.17,0.21,0.82,0,1,0,0,0,0,1,0,0,0
Ivan Salaverry,1.83,185.0,1.83,0,31.71,12.53,0.82,12.53,0.82,2.41,1.0,1.0,9.64,0.67,Matt Lindland,1.83,185.0,1.88,32.36,10.83,0.8,3.09,0.71,3.41,0.56,0.5,0.34,0.67,0,1,0,0,0,0,0,0,1,0
Ivan Salaverry,1.83,185.0,1.83,1,33.78,7.5,0.74,8.78,0.72,1.09,0.5,0.73,4.37,0.62,Tony Fryklund,1.83,185.0,1.83,33.58,12.75,0.73,12.75,0.73,1.39,1.0,1.0,2.77,0.59,0,1,0,0,0,0,1,0,0,0
Ivan Salaverry,1.83,185.0,1.83,1,34.26,7.78,0.73,8.43,0.72,1.03,0.33,0.67,4.65,0.59,Joe Riggs,1.83,185.0,1.78,22.56,5.09,0.62,5.09,0.62,3.47,0.67,0.67,0.0,0.77,0,1,0,0,0,0,0,0,1,0
Ivan Salaverry,1.83,185.0,1.83,0,36.37,3.53,0.56,3.59,0.53,0.0,0.0,0.69,0.87,0.63,Terry Martin,1.73,185.0,1.8,26.62,5.08,0.84,5.08,0.84,3.46,0.38,0.38,0.0,0.75,0,1,0,0,0,0,1,0,0,0
JC Cottrell,1.75,155.0,1.8,0,27.23,2.6,0.5,4.67,0.69,0.0,0.0,0.5,0.0,0.81,Jason Gonzalez,1.88,155.0,1.88,26.92,5.71,0.33,5.71,0.33,0.0,0.0,0.0,0.0,0.77,0,1,0,0,0,0,0,0,1,0
JJ Aldrich,1.65,125.0,1.7,1,25.85,6.13,0.48,5.67,0.45,0.33,0.2,0.45,0.0,0.62,Polyana Viana,1.65,115.0,1.7,26.14,6.53,0.71,6.53,0.71,3.92,0.5,0.5,11.75,0.82,0,0,0,1,0,0,1,0,0,0
JJ Aldrich,1.65,125.0,1.7,0,26.48,5.43,0.49,5.68,0.46,0.25,0.17,0.38,0.0,0.67,Maycee Barber,1.65,125.0,1.65,20.85,11.11,0.73,11.11,0.73,2.14,0.2,0.2,0.0,0.83,0,0,0,1,0,0,0,0,0,1
JJ Aldrich,1.65,125.0,1.7,1,27.03,4.58,0.41,5.85,0.44,0.28,0.17,0.2,0.0,0.7,Lauren Mueller,1.65,125.0,1.7,27.91,5.94,0.5,7.47,0.55,0.88,0.67,0.43,0.0,0.57,0,0,0,1,0,0,1,0,0,0
JJ Aldrich,1.65,125.0,1.7,0,27.3,4.21,0.44,5.13,0.45,0.57,0.25,0.27,0.0,0.73,Sabina Mazo,1.7,125.0,1.78,22.82,8.1,0.6,5.83,0.53,2.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0
Jacare Souza,1.85,185.0,1.83,1,33.74,3.31,0.57,3.31,0.57,4.14,0.33,0.33,4.14,0.81,Yushin Okami,1.88,170.0,1.9,32.12,4.96,0.55,4.96,0.55,2.45,0.44,0.44,0.0,0.72,0,1,0,0,0,0,0,0,1,0
