f1_name,f2_name,f1_str,f2_str,f1_tds,f2_tds,f1_subs,f2_subs,f1_pass,f2_pass,weight_class,method,finisher,round_num,time,event_name,event_date
"
              Rafael Natal
            ","
              Tom Watson
            ",67,29,8,0,0,0,1,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 183: Silva vs Diaz
            ","
      ,
      January 31, 2015
    "
"
              Ildemar Alcantara
            ","
              Richardson Moreira
            ",21,15,0,0,0,0,1,0,"
        Middleweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 183: Silva vs Diaz
            ","
      ,
      January 31, 2015
    "
"
              Thiago Santos
            ","
              Andy Enz
            ",20,1,0,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        1:56
      ","
              UFC 183: Silva vs Diaz
            ","
      ,
      January 31, 2015
    "
"
              Benson Henderson
            ","
              Brandon Thatch
            ",57,44,3,2,1,0,5,0,"
        Welterweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        4
      ","

        
        3:58
      ","
              UFC Fight Night: Henderson vs Thatch
            ","
      ,
      February 14, 2015
    "
"
              Max Holloway
            ","
              Cole Miller
            ",57,31,1,0,0,0,0,0,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Henderson vs Thatch
            ","
      ,
      February 14, 2015
    "
"
              Neil Magny
            ","
              Kiichi Kunimoto
            ",76,10,3,1,1,0,2,1,"
        Welterweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        3
      ","

        
        1:22
      ","
              UFC Fight Night: Henderson vs Thatch
            ","
      ,
      February 14, 2015
    "
"
              Daniel Kelly
            ","
              Patrick Walsh
            ",61,50,0,1,0,0,0,1,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Henderson vs Thatch
            ","
      ,
      February 14, 2015
    "
"
              Kevin Lee
            ","
              Michel Prazeres
            ",62,33,4,3,3,0,3,1,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Henderson vs Thatch
            ","
      ,
      February 14, 2015
    "
"
              Ray Borg
            ","
              Chris Kelades
            ",19,4,5,0,4,0,6,1,"
        Flyweight","
        
        

        SUB

      ","
        Kimura
      ","

        3
      ","

        
        2:56
      ","
              UFC Fight Night: Henderson vs Thatch
            ","
      ,
      February 14, 2015
    "
"
              Efrain Escudero
            ","
              Rodrigo de Lima
            ",94,24,2,3,0,0,0,3,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Henderson vs Thatch
            ","
      ,
      February 14, 2015
    "
"
              Chas Skelly
            ","
              Jim Alers
            ",42,33,0,1,0,1,0,1,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        4:59
      ","
              UFC Fight Night: Henderson vs Thatch
            ","
      ,
      February 14, 2015
    "
"
              Zach Makovsky
            ","
              Tim Elliott
            ",21,43,6,1,0,0,8,1,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Henderson vs Thatch
            ","
      ,
      February 14, 2015
    "
"
              James Moontasri
            ","
              Cody Pfister
            ",32,12,0,0,1,0,1,0,"
        Lightweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        2
      ","

        
        1:49
      ","
              UFC Fight Night: Henderson vs Thatch
            ","
      ,
      February 14, 2015
    "
"
              Frank Mir
            ","
              Antonio Silva
            ",10,1,0,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        1:40
      ","
              UFC Fight Night: Bigfoot vs Mir
            ","
      ,
      February 22, 2015
    "
"
              Michael Johnson
            ","
              Edson Barboza
            ",38,31,1,0,0,0,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Bigfoot vs Mir
            ","
      ,
      February 22, 2015
    "
"
              Sam Alvey
            ","
              Cezar Ferreira
            ",4,13,0,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        3:34
      ","
              UFC Fight Night: Bigfoot vs Mir
            ","
      ,
      February 22, 2015
    "
"
              Adriano Martins
            ","
              Rustam Khabilov
            ",12,18,3,0,0,0,3,0,"
        Lightweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Bigfoot vs Mir
            ","
      ,
      February 22, 2015
    "
"
              Frankie Saenz
            ","
              Iuri Alcantara
            ",44,31,3,2,0,0,1,3,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Bigfoot vs Mir
            ","
      ,
      February 22, 2015
    "
"
              Santiago Ponzinibbio
            ","
              Sean Strickland
            ",50,44,1,2,0,0,0,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Bigfoot vs Mir
            ","
      ,
      February 22, 2015
    "
"
              Marion Reneau
            ","
              Jessica Andrade
            ",6,6,0,0,1,0,0,0,"
        Women's Bantamweight","
        
        

        SUB

      ","
        Triangle Choke
      ","

        1
      ","

        
        1:54
      ","
              UFC Fight Night: Bigfoot vs Mir
            ","
      ,
      February 22, 2015
    "
"
              Matt Dwyer
            ","
              William Patolino
            ",13,8,0,0,0,0,0,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        3:14
      ","
              UFC Fight Night: Bigfoot vs Mir
            ","
      ,
      February 22, 2015
    "
"
              Mike de la Torre
            ","
              Tiago Trator
            ",16,7,0,0,0,0,0,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        2:59
      ","
              UFC Fight Night: Bigfoot vs Mir
            ","
      ,
      February 22, 2015
    "
